0002-00000007,2017-07-28,"ERROR ('Posted journal entry must have an unique sequence number per company.', None)"
0001-00000160,2017-07-25,"ERROR ('Posted journal entry must have an unique sequence number per company.', None)"
0001-00000319,2017-07-11,"ERROR ('Posted journal entry must have an unique sequence number per company.', None)"
0005-00000222,2017-07-10,"ERROR ('You need to add a line before posting.', '')"
0005-00000221,2017-07-10,"ERROR ('You need to add a line before posting.', '')"
0005-00000220,2017-07-10,"ERROR ('You need to add a line before posting.', '')"
0005-00000219,2017-07-10,"ERROR ('You need to add a line before posting.', '')"
0005-00000218,2017-07-10,"ERROR ('You need to add a line before posting.', '')"
NC-A 00005-00000023,2017-07-10,"ERROR ('You need to add a line before posting.', '')"
0012-00203239,2017-07-07,"ERROR ('You need to add a line before posting.', '')"
0009-00150320,2017-07-07,"ERROR ('You need to add a line before posting.', '')"
0005-00000217,2017-07-07,"ERROR ('You need to add a line before posting.', '')"
0001-00003277,2017-07-07,"ERROR ('You need to add a line before posting.', '')"
0001-00000953,2017-07-07,"ERROR ('You need to add a line before posting.', '')"
0001-00000952,2017-07-07,"ERROR ('You need to add a line before posting.', '')"
0001-00000951,2017-07-07,"ERROR ('You need to add a line before posting.', '')"
6000-00000522,2017-07-06,"ERROR ('You need to add a line before posting.', '')"
0012-00020343,2017-07-06,"ERROR ('You need to add a line before posting.', '')"
0009-00150135,2017-07-06,"ERROR ('You need to add a line before posting.', '')"
0005-00000216,2017-07-06,"ERROR ('You need to add a line before posting.', '')"
6000-00023409,2017-07-05,"ERROR ('You need to add a line before posting.', '')"
0022-00006855,2017-07-05,"ERROR ('You need to add a line before posting.', '')"
0022-00006854,2017-07-05,"ERROR ('You need to add a line before posting.', '')"
0022-00006852,2017-07-05,"ERROR ('You need to add a line before posting.', '')"
0005-00000215,2017-07-05,"ERROR ('You need to add a line before posting.', '')"
0002-00000339,2017-07-05,"ERROR ('You need to add a line before posting.', '')"
7123-00013324,2017-07-04,"ERROR ('You need to add a line before posting.', '')"
0005-00000214,2017-07-04,"ERROR ('You need to add a line before posting.', '')"
0005-00000213,2017-07-04,"ERROR ('You need to add a line before posting.', '')"
0005-00000212,2017-07-04,"ERROR ('You need to add a line before posting.', '')"
0005-00000211,2017-07-04,"ERROR ('You need to add a line before posting.', '')"
0005-00000210,2017-07-03,"ERROR ('You need to add a line before posting.', '')"
0005-00000209,2017-07-03,"ERROR ('You need to add a line before posting.', '')"
0005-00000208,2017-07-03,"ERROR ('You need to add a line before posting.', '')"
0005-00000207,2017-07-03,"ERROR ('You need to add a line before posting.', '')"
0005-00000206,2017-07-03,"ERROR ('You need to add a line before posting.', '')"
0005-00000205,2017-07-03,"ERROR ('You need to add a line before posting.', '')"
0005-00000204,2017-07-03,"ERROR ('You need to add a line before posting.', '')"
0005-00000203,2017-07-03,"ERROR ('You need to add a line before posting.', '')"
0005-00000202,2017-07-03,"ERROR ('You need to add a line before posting.', '')"
FA-A 00005-00000201,2017-07-03,"ERROR ('You need to add a line before posting.', '')"
0005-00000200,2017-07-03,"ERROR ('You need to add a line before posting.', '')"
0005-00000199,2017-07-03,"ERROR ('You need to add a line before posting.', '')"
0005-00000198,2017-07-03,"ERROR ('You need to add a line before posting.', '')"
0003-00009240,2017-07-03,"ERROR ('You need to add a line before posting.', '')"
0003-00003924,2017-07-03,"ERROR ('You need to add a line before posting.', '')"
0003-00000257,2017-07-03,"ERROR ('You need to add a line before posting.', '')"
0002-00017764,2017-07-03,"ERROR ('You need to add a line before posting.', '')"
0001-00003259,2017-07-03,"ERROR ('You need to add a line before posting.', '')"
0192-00066588,2017-07-01,"ERROR ('You need to add a line before posting.', '')"
0014-00769448,2017-06-30,"ERROR ('You need to add a line before posting.', '')"
0012-00202827,2017-06-30,"ERROR ('You need to add a line before posting.', '')"
0011-00025428,2017-06-30,"ERROR ('You need to add a line before posting.', '')"
0005-00033860,2017-06-30,"ERROR ('You need to add a line before posting.', '')"
0004-00002032,2017-06-30,"ERROR ('You need to add a line before posting.', '')"
0002-00009713,2017-06-30,"ERROR ('You need to add a line before posting.', '')"
0002-00004258,2017-06-30,"ERROR ('You need to add a line before posting.', '')"
0001-00001241,2017-06-30,"ERROR ('You need to add a line before posting.', '')"
0001-00001240,2017-06-30,"ERROR ('You need to add a line before posting.', '')"
0001-00001239,2017-06-30,"ERROR ('You need to add a line before posting.', '')"
0001-00000486,2017-06-30,"ERROR ('You need to add a line before posting.', '')"
0012-00202584,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0012-00202576,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0012-00001738,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0007-00022789,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0007-00022788,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000197,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000196,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000195,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000194,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000193,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000192,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000191,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000190,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000189,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000188,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000187,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000186,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000185,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000184,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000183,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000182,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000181,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000180,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000179,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000178,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000177,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000176,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000175,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000174,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000173,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
0005-00000172,2017-06-29,"ERROR ('You need to add a line before posting.', '')"
6000-00023268,2017-06-28,"ERROR ('You need to add a line before posting.', '')"
2632-00017301,2017-06-28,"ERROR ('You need to add a line before posting.', '')"
0014-00000250,2017-06-28,"ERROR ('You need to add a line before posting.', '')"
0012-00020256,2017-06-28,"ERROR ('You need to add a line before posting.', '')"
0005-00023745,2017-06-28,"ERROR ('You need to add a line before posting.', '')"
0005-00000171,2017-06-28,"ERROR ('You need to add a line before posting.', '')"
0005-00000170,2017-06-28,"ERROR ('You need to add a line before posting.', '')"
0005-00000169,2017-06-28,"ERROR ('You need to add a line before posting.', '')"
0001-00000143,2017-06-28,"ERROR ('You need to add a line before posting.', '')"
0001-00000143,2017-06-28,"ERROR ('You need to add a line before posting.', '')"
0001-00000142,2017-06-28,"ERROR ('You need to add a line before posting.', '')"
6000-00023255,2017-06-27,"ERROR ('You need to add a line before posting.', '')"
0005-00000168,2017-06-27,"ERROR ('You need to add a line before posting.', '')"
0005-00000167,2017-06-27,"ERROR ('You need to add a line before posting.', '')"
0005-00000166,2017-06-27,"ERROR ('You need to add a line before posting.', '')"
0004-00016579,2017-06-27,"ERROR ('You need to add a line before posting.', '')"
0002-00004198,2017-06-27,"ERROR ('You need to add a line before posting.', '')"
0002-00000071,2017-06-27,"ERROR ('You need to add a line before posting.', '')"
6000-00004056,2017-06-26,"ERROR ('You need to add a line before posting.', '')"
6000-00004051,2017-06-26,"ERROR ('You need to add a line before posting.', '')"
0022-00006707,2017-06-26,"ERROR ('You need to add a line before posting.', '')"
0022-00000239,2017-06-26,"ERROR ('You need to add a line before posting.', '')"
0005-00000165,2017-06-26,"ERROR ('You need to add a line before posting.', '')"
0005-00000164,2017-06-26,"ERROR ('You need to add a line before posting.', '')"
0005-00000016,2017-06-26,"ERROR ('You need to add a line before posting.', '')"
0003-00000219,2017-06-26,"ERROR ('Posted journal entry must have an unique sequence number per company.', None)"
0003-00000218,2017-06-26,"ERROR ('Posted journal entry must have an unique sequence number per company.', None)"
0003-00000217,2017-06-26,"ERROR ('Posted journal entry must have an unique sequence number per company.', None)"
0001-00103517,2017-06-26,"ERROR ('You need to add a line before posting.', '')"
1386-00014066,2017-06-25,"ERROR ('You need to add a line before posting.', '')"
0103-00229380,2017-06-23,"ERROR ('You need to add a line before posting.', '')"
0005-00000163,2017-06-23,"ERROR ('You need to add a line before posting.', '')"
0005-00000162,2017-06-23,"ERROR ('You need to add a line before posting.', '')"
0005-00000161,2017-06-23,"ERROR ('You need to add a line before posting.', '')"
0005-00000160,2017-06-23,"ERROR ('You need to add a line before posting.', '')"
0005-00000159,2017-06-23,"ERROR ('You need to add a line before posting.', '')"
0005-00000158,2017-06-23,"ERROR ('You need to add a line before posting.', '')"
0005-00000005,2017-06-23,"ERROR ('You need to add a line before posting.', '')"
0005-00000004,2017-06-23,"ERROR ('You need to add a line before posting.', '')"
0005-00000003,2017-06-23,"ERROR ('You need to add a line before posting.', '')"
0005-00000002,2017-06-23,"ERROR ('You need to add a line before posting.', '')"
0005-00000001,2017-06-23,"ERROR ('You need to add a line before posting.', '')"
0004-00000255,2017-06-23,"ERROR ('You need to add a line before posting.', '')"
0001-00001233,2017-06-23,"ERROR ('You need to add a line before posting.', '')"
0001-00001232,2017-06-23,"ERROR ('You need to add a line before posting.', '')"
0001-00001231,2017-06-23,"ERROR ('You need to add a line before posting.', '')"
0001-00000139,2017-06-23,"ERROR ('You need to add a line before posting.', '')"
0001-00000138,2017-06-23,"ERROR ('You need to add a line before posting.', '')"
6000-00023188,2017-06-22,"ERROR ('You need to add a line before posting.', '')"
6000-00023187,2017-06-22,"ERROR ('You need to add a line before posting.', '')"
6000-00023186,2017-06-22,"ERROR ('You need to add a line before posting.', '')"
6000-00023185,2017-06-22,"ERROR ('You need to add a line before posting.', '')"
0048-00004603,2017-06-22,"ERROR ('You need to add a line before posting.', '')"
0048-00004602,2017-06-22,"ERROR ('You need to add a line before posting.', '')"
0005-00000157,2017-06-22,"ERROR ('You need to add a line before posting.', '')"
0001-00361747,2017-06-22,"ERROR ('You need to add a line before posting.', '')"
0005-00000156,2017-06-21,"ERROR ('You need to add a line before posting.', '')"
0005-00000155,2017-06-21,"ERROR ('You need to add a line before posting.', '')"
0005-00000015,2017-06-21,"ERROR ('You need to add a line before posting.', '')"
0005-00000014,2017-06-21,"ERROR ('You need to add a line before posting.', '')"
0005-00000005,2017-06-21,"ERROR ('You need to add a line before posting.', '')"
0004-00017489,2017-06-21,"ERROR ('You need to add a line before posting.', '')"
0002-00000545,2017-06-21,"ERROR ('You need to add a line before posting.', '')"
0012-00201859,2017-06-19,"ERROR ('You need to add a line before posting.', '')"
0005-00000154,2017-06-19,"ERROR ('You need to add a line before posting.', '')"
0005-00000153,2017-06-19,"ERROR ('You need to add a line before posting.', '')"
0005-00000152,2017-06-19,"ERROR ('You need to add a line before posting.', '')"
0005-00000151,2017-06-19,"ERROR ('You need to add a line before posting.', '')"
0005-00000022,2017-06-19,"ERROR ('You need to add a line before posting.', '')"
0002-00000544,2017-06-19,"ERROR ('You need to add a line before posting.', '')"
0002-00000540,2017-06-19,"ERROR ('You need to add a line before posting.', '')"
1022-06671944,2017-06-18,"ERROR ('You need to add a line before posting.', '')"
3000-00024949,2017-06-16,"ERROR ('You need to add a line before posting.', '')"
0012-00024673,2017-06-16,"ERROR ('You need to add a line before posting.', '')"
0012-00024673,2017-06-16,"ERROR ('You need to add a line before posting.', '')"
0005-00000150,2017-06-16,"ERROR ('You need to add a line before posting.', '')"
0005-00000149,2017-06-16,"ERROR ('You need to add a line before posting.', '')"
0001-46035232,2017-06-16,"ERROR ('You need to add a line before posting.', '')"
0001-46035230,2017-06-16,"ERROR ('You need to add a line before posting.', '')"
0001-01231004,2017-06-16,"ERROR ('You need to add a line before posting.', '')"
0001-00001226,2017-06-16,"ERROR ('You need to add a line before posting.', '')"
0001-00001225,2017-06-16,"ERROR ('You need to add a line before posting.', '')"
0001-00001224,2017-06-16,"ERROR ('You need to add a line before posting.', '')"
0001-00000478,2017-06-16,"ERROR ('You need to add a line before posting.', '')"
0012-00201600,2017-06-15,"ERROR ('You need to add a line before posting.', '')"
0009-00148398,2017-06-15,"ERROR ('You need to add a line before posting.', '')"
0009-00148397,2017-06-15,"ERROR ('You need to add a line before posting.', '')"
0005-00000148,2017-06-15,"ERROR ('You need to add a line before posting.', '')"
0005-00000147,2017-06-15,"ERROR ('You need to add a line before posting.', '')"
0005-00000146,2017-06-15,"ERROR ('You need to add a line before posting.', '')"
0005-00000145,2017-06-15,"ERROR ('You need to add a line before posting.', '')"
0005-00000144,2017-06-15,"ERROR ('You need to add a line before posting.', '')"
0005-00000143,2017-06-15,"ERROR ('You need to add a line before posting.', '')"
0005-00000013,2017-06-15,"ERROR ('You need to add a line before posting.', '')"
0005-00000012,2017-06-15,"ERROR ('You need to add a line before posting.', '')"
0002-00009614,2017-06-15,"ERROR ('You need to add a line before posting.', '')"
0002-00004164,2017-06-15,"ERROR ('You need to add a line before posting.', '')"
0001-00000134,2017-06-15,"ERROR ('You need to add a line before posting.', '')"
0005-00008978,2017-06-14,"ERROR ('You need to add a line before posting.', '')"
0005-00000142,2017-06-14,"ERROR ('You need to add a line before posting.', '')"
0005-00000141,2017-06-14,"ERROR ('You need to add a line before posting.', '')"
0005-00000140,2017-06-14,"ERROR ('You need to add a line before posting.', '')"
0005-00000139,2017-06-14,"ERROR ('You need to add a line before posting.', '')"
0005-00000138,2017-06-14,"ERROR ('You need to add a line before posting.', '')"
0005-00000137,2017-06-14,"ERROR ('You need to add a line before posting.', '')"
0005-00000011,2017-06-14,"ERROR ('You need to add a line before posting.', '')"
0001-00361715,2017-06-14,"ERROR ('You need to add a line before posting.', '')"
0012-00201445,2017-06-13,"ERROR ('You need to add a line before posting.', '')"
0007-00022686,2017-06-13,"ERROR ('You need to add a line before posting.', '')"
0006-29065837,2017-06-13,"ERROR ('You need to add a line before posting.', '')"
0005-00000136,2017-06-13,"ERROR ('You need to add a line before posting.', '')"
0005-00000135,2017-06-13,"ERROR ('You need to add a line before posting.', '')"
0005-00000134,2017-06-13,"ERROR ('You need to add a line before posting.', '')"
0005-00000133,2017-06-13,"ERROR ('You need to add a line before posting.', '')"
0005-00000132,2017-06-13,"ERROR ('You need to add a line before posting.', '')"
0005-00000131,2017-06-13,"ERROR ('You need to add a line before posting.', '')"
0005-00000130,2017-06-13,"ERROR ('You need to add a line before posting.', '')"
0005-00000129,2017-06-13,"ERROR ('You need to add a line before posting.', '')"
0005-00000021,2017-06-13,"ERROR ('You need to add a line before posting.', '')"
0003-00022886,2017-06-13,"ERROR ('You need to add a line before posting.', '')"
0002-00000776,2017-06-13,"ERROR ('You need to add a line before posting.', '')"
0001-00000206,2017-06-13,"ERROR ('You need to add a line before posting.', '')"
6000-00023035,2017-06-12,"ERROR ('You need to add a line before posting.', '')"
6000-00023034,2017-06-12,"ERROR ('You need to add a line before posting.', '')"
0012-00020151,2017-06-12,"ERROR ('You need to add a line before posting.', '')"
0005-00000128,2017-06-12,"ERROR ('You need to add a line before posting.', '')"
0005-00000127,2017-06-12,"ERROR ('You need to add a line before posting.', '')"
0005-00000126,2017-06-12,"ERROR ('You need to add a line before posting.', '')"
0005-00000020,2017-06-12,"ERROR ('You need to add a line before posting.', '')"
0005-00000019,2017-06-12,"ERROR ('You need to add a line before posting.', '')"
0005-00000018,2017-06-12,"ERROR ('You need to add a line before posting.', '')"
0002-00093495,2017-06-12,"ERROR ('You need to add a line before posting.', '')"
0001-00000035,2017-06-12,"ERROR ('You need to add a line before posting.', '')"
6199-00002203,2017-06-10,"ERROR ('You need to add a line before posting.', '')"
0002-00009449,2017-06-10,"ERROR ('You need to add a line before posting.', '')"
3000-00024795,2017-06-09,"ERROR ('You need to add a line before posting.', '')"
